event,meet,stroke,gender,distance,records,entries
1,2025 Pss Westmont Complete Meet Results,Freestyle,Women,1500,"[['World', '15:20.48', '5/16/2018', 'Katie Ledecky', 'USA'], ['American', '15:20.48', '5/16/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '5/16/2018', 'Katie Ledecky', 'Stanford']]","[[1, 'Beatriz Pimentel Dizotti', 24, 'Brazil-IT', '16:01.95', '16:28.73'], [2, 'Marian Ploeger', 18, 'Univ. Of Michigan Swim Team-MI', '16:41.39', '16:32.99'], [3, 'Abby Dunford', 19, 'Sarasota Sharks-FL', '16:59.59', '16:41.73'], [4, 'Vivien Jackl', 16, 'Hungary-IT', '16:06.37', '17:06.38'], [6, 'Grace Alegi', 16, 'Sarasota Sharks-FL', '17:15.66', '17:13.90'], [7, 'Brielle Mullikin', 16, 'Unattached Pleasanton-PC', '17:21.47', '17:31.37'], [8, 'Lolly Milbaum', 17, 'Sarasota Sharks-FL', '16:55.40', '17:37.35'], [9, 'Delphine Piatera Mercier', 16, 'Team Quebec-IT', '17:06.87', '17:46.67'], [10, 'Heidi George', 49, 'Great Wolf Swim Team-MN', '17:26.47', '17:50.18']]"
2,2025 Pss Westmont Complete Meet Results,Freestyle,Men,1500,"[['World', '14:30.67', '8/4/2024', 'Bobby Finke', 'USA'], ['American', '14:30.67', '8/4/2024', 'Bobby Finke', 'USA'], ['U.S. Open', '14:40.28', '6/23/2024', 'Robert Finke', 'Saint Petersburg']]","[[1, 'Aiden Hammer', 17, 'King Aquatic Club-PN', '15:33.69', '15:15.37'], [2, 'Luka Mijatovic', 15, 'Pleasanton Seahawks-PC', '15:15.95', '15:16.31'], [3, 'Luke Whitlock', 18, 'Fishers Area Swimming Tigers-IN', '14:53.00', '15:23.53'], [4, 'Ilia Sibirtsev', 23, 'Uzbekistan Aquat-IT/Cardin', '15:21.29', '15:37.40'], [5, 'Sebastian Paulins', 26, 'Team Quebec-IT', '15:29.03', '15:46.76'], [6, 'Jack Callan', 24, 'Unattached-IN', '15:38.58', '16:00.63'], [7, 'Sean Atkinson', 18, 'Unattached-IN', '15:48.57', '16:04.26'], [8, 'Alexander Rousseau', 19, 'Tac Titans-NC', '15:50.13', '16:05.52'], [9, 'Edouard Duffy', 19, 'Team Quebec-IT', '15:44.23', '16:07.36'], [10, 'Nicholas Subagyo', 21, 'Oly Swimming-MI', '16:12.72', '16:11.10'], [11, 'Tristan Prizler', 19, 'Northwestern University ST-IL', '15:55.93', '16:15.91'], [12, 'Charlie Mayr', 18, 'Unattached-IN', '16:00.75', '16:24.56']]"
3,2025 Pss Westmont Complete Meet Results,Freestyle,Women,100,"[['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin']]","[[1, 'Simone Manuel', 28, 'Longhorn Aquatics-ST', '54.17', '53.23'], [2, 'Rylee Erisman', 15, 'Laker Swim-FL', '54.19', '53.83'], [3, 'Meg Harris', 22, 'Australia-IT', '55.12', '54.31'], [4, 'Mary-Sophie Harvey', 25, 'Team Quebec-IT', '55.08', '54.34'], [5, 'Penny Oleksiak', 24, 'Mission Viejo Nadadores-CA', '55.37', '54.56'], [6, 'Beata Nelson', 26, 'Wisconsin Aquatics-WI', '55.69', '54.76'], [7, 'Kasia Wasick', 32, 'Unattached-NT', '55.78', '55.02'], [8, 'Madi Mintenko', 17, 'Pikes Peak Athletics-CO', '55.32', '55.89'], [9, 'Lily Price', 22, 'Australia-IT', '56.14', '55.31'], [10, 'Isabel Ivey', 24, 'Gator Swim Club-FL', '56.08', '55.62'], [11, 'Katharine Berkoff', 24, 'Wolfpack Elite-NC', '56.07', '55.90'], [12, 'Julie Mishler', 17, 'Fishers Area Swimming Tigers-IN', '56.50', '56.06'], [13, ""Teagan O'Dell"", 18, 'Unattached Mvn-CA', '56.22', '56.38'], [14, 'Madison Kryger', 16, 'Swimming Canada-IT', '57.12', '56.40'], [15, 'Nina Stanisavljevic', 20, 'Georgia Tech Swimming-GA', '56.93', '56.63'], [16, 'Matea Gigovic', 16, 'Swimming Canada-IT', '57.19', '56.93'], [17, 'Anna Hadjiloizou', 20, 'Georgia Tech Swimming-GA', '57.36', '57.27'], [18, 'Brynn Lavigueur', 17, 'Sarasota Sharks-FL', '57.77', '57.44'], [19, 'Nathalia Siqueira Almeida', 28, 'Brazil-IT', '57.37', '57.50'], [20, 'Zora Ripkova', 22, 'Georgia Tech Swimming-GA', '57.88', '57.51'], [21, 'Ines Marin Alexandre', 23, 'Unattached-CO', '57.80', '57.61'], [22, 'Maria Paula Heitmann', 26, 'Sesc RJ-IT', '57.57', '57.82'], [23, 'Gracyn Aquino', 17, 'Unattached Mvn-CA', '58.19', '58.02'], [24, 'Abigail Heizer', 18, 'Spartan Aquatic Club-GA', '58.22', '58.22'], [25, 'Allison Kelly', 15, 'Bolles School Sharks-FL', '57.92', '58.43'], [26, 'Tierney Lenahan', 17, 'Nasa Wildcat Aquatics-IL', '56.60', '58.45'], [27, 'Kelsey Zhang', 17, 'Unattached Pasa-PC', '57.34', '58.47'], [29, 'Heidi Stoute', 15, 'Bolles School Sharks-FL', '57.52', '58.56'], [30, 'Luci Gutierrez', 17, 'Westchester Aquatic Club-MR', '57.63', '59.09'], [31, 'Sarah Juiris', 17, 'Fmc Aquatic-IL', '57.48', '59.21'], [32, 'Sofia Revilak Fonseca', 27, 'Unattached-NT', '56.49', '59.24'], [34, 'Joice Otero Rocha', 16, 'Flamengo Rio de Janeiro-IT', '56.15', '59.94'], [35, 'Lilia Barber', 15, 'Rise Aquatic Club-IL', '57.97', '1:00.15'], [36, 'Kamile Zinis', 18, 'Fmc Aquatic-IL', '57.85', '1:00.24']]"
4,2025 Pss Westmont Complete Meet Results,Freestyle,Men,100,"[['World', '46.40', '7/31/2024', 'Zhanle Pan', 'CHN'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.08', '6/18/2024', 'Jack Alexy', 'California Aquat'], ['World', '46.40', '7/31/2024', 'Zhanle Pan', 'CHN'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.08', '6/18/2024', 'Jack Alexy', 'California Aquat']]","[[1, 'Shaine Casas', 25, 'Longhorn Aquatics-ST', '49.63', '48.31'], [2, 'Grant House', 26, 'Sun Devil Swimming-AZ', '49.17', '48.50'], [3, 'Mikel Schreuders', 26, 'Sun Devil Swimming-AZ', '49.37', '48.65'], [4, 'Mikkel Lee', 22, 'Singapore-IT', '49.67', '49.14'], [5, 'Maximillian Giuliani', 21, 'Australia-IT', '49.66', '49.19'], [6, 'Hrvoje Tomic', 20, 'Unattached-IN', '49.94', '49.42'], [7, 'Jack Dolan', 24, 'Sun Devil Swimming-AZ', '49.76', '49.79'], [8, 'Laon Kim', 16, 'University of Calgary Swim Clu-IT', '49.90', '49.82'], [9, 'Yuri Kisil', 29, 'Swimming Canada-IT', '50.16', '49.50'], [10, 'Shane Eckler', 18, 'Unattached-IN', '50.44', '50.05'], [11, 'Jonathan Tan', 22, 'Singapore-IT', '50.44', '50.24'], [12, 'Robin Yeboah', 21, 'Georgia Tech Swimming-GA', '50.51', '50.33'], [13, 'Hunter Armstrong', 24, 'New York Athletic Club-MR', '50.62', '50.64'], [14, 'Finn Winkler', 20, 'Fishers Area Swimming Tigers-IN', '50.80', '51.07'], [15, 'Ricky Balduccini', 20, 'Georgia Tech Swimming-GA', '51.05', '51.17'], [16, 'Camilo Marrugo Montano', 22, 'Club Navegantes del Valle-IT', '51.00', '51.23'], [17, 'Cole Pratt', 22, 'Swimming Canada-IT', '51.16', '51.07'], [18, 'Andy Kravchenko', 17, 'Bolles School Sharks-FL', '51.56', '51.51'], [21, 'Sofus Balladone', 22, 'Oly Swimming-MI', '52.15', '51.69'], [22, 'Jack Sullivan', 19, 'Unattached-IN', '52.22', '52.56'], [23, 'Tim Wu', 16, 'Pleasanton Seahawks-PC', '51.48', '52.68'], [24, 'Roman Rybin', 34, 'King Aquatic Club-PN', '52.67', '52.97'], [25, 'Jack Sullivan', 19, 'Unattached-IN', '51.38', '52.22'], [26, 'Liam Carrington', 16, 'Bolles School Sharks-FL', '51.38', '52.61'], [27, 'Roman Rybin', 34, 'King Aquatic Club-PN', '52.17', '52.67'], [28, 'Xavier Sohovich', 18, 'Bolles School Sharks-FL', '50.92', '52.90'], [29, 'Gabriel Tortola', 18, 'Plantation Swim Team-FG', '52.08', '52.94'], [30, 'Max Goettsch', 17, 'Fmc Aquatic-IL', '51.46', '53.05'], [31, 'Antoine Destang', 16, 'Bolles School Sharks-FL', '51.50', '53.42'], [33, 'Stefano Mitchell', 25, 'Mission Viejo Nadadores-CA', '51.46', '53.63'], [34, 'Tristan Dorville', 17, 'Bolles School Sharks-FL', '52.48', '54.18']]"
5,2025 Pss Westmont Complete Meet Results,Breaststroke,Women,100,"[['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]","[[1, 'Kate Douglass', 23, 'New York Athletic Club-MR', '1:07.13', '1:06.51'], [2, 'Lilly King', 28, 'Indiana Swim Club-IN', '1:07.90', '1:07.13'], [3, 'Anita Bottazzo', 21, 'Unattached-FL', '1:08.64', '1:07.32'], [4, 'Anna Elendt', 23, 'Longhorn Aquatics-ST', '1:07.85', '1:07.60'], [5, 'Sophie Angus', 25, 'Swimming Canada-IT', '1:08.34', '1:08.59'], [6, 'Macarena Ceballos', 30, 'Argentina-IT', '1:08.94', '1:08.71'], [7, 'Isabelle Odgers', 24, 'Irvine Novaquatics-CA', '1:10.86', '1:10.30'], [8, 'Gabriele Assis', 15, 'Flamengo Rio de Janeiro-IT', '1:10.75', '1:10.51'], [9, 'Maddie Moreth', 16, 'Valparaiso Swim Club-IN', '1:11.22', '1:10.27'], [10, 'Cecilia Howard', 18, 'Bellevue Club Swim Team-PN', '1:11.56', '1:10.95'], [11, 'Taylor Bennett', 14, 'Pleasanton Seahawks-PC', '1:13.24', '1:12.22'], [12, 'Lucy Parson', 15, 'Uss Destroyers Swim Club-IA', '1:13.43', '1:13.65'], [13, 'Imane El Barodi', 24, 'Georgia Tech Swimming-GA', '1:13.77', '1:13.89'], [14, 'Erin Griffis', 15, 'Unattached Pasa-PC', '1:14.30', '1:14.21'], [15, 'Lauren Jablonski', 18, 'Fmc Aquatic-IL', '1:15.13', '1:14.38'], [16, 'Nelli Sandor', 16, 'Patriot Aquatic Club-IL', '1:15.03', '1:15.87'], [17, 'Madi King', 15, 'Lake Forest Swim Club-IL', '1:15.22', '1:13.53'], [18, 'Kamila Blanchard', 17, 'Team Quebec-IT', '1:15.18', '1:13.94'], [19, 'Vivian Taylor', 15, 'Unattached Mvn-CA', '1:15.89', '1:15.08'], [20, 'Meagan Davis', 19, 'Unattached-GA', '1:15.88', '1:15.88'], [21, 'Amanda Vileikis', 17, 'Fmc Aquatic-IL', '1:15.51', '1:16.04'], [22, 'Kamile Zinis', 18, 'Fmc Aquatic-IL', '1:17.91', '1:17.00']]"
6,2025 Pss Westmont Complete Meet Results,Breaststroke,Men,100,"[['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S']]","[[1, 'Michael Andrew', 25, 'Sun Devil Swimming-AZ', '1:00.65', '1:00.85'], [2, 'AJ Pouch', 24, 'Pinnacle Racing-VA', '1:02.32', '1:01.24'], [3, 'Garrett Clasen', 24, 'Fmc Aquatic-IL', '1:01.78', '1:01.58'], [4, 'Dante Nicola Rho', 20, 'McKendree University-OZ/Unattached', '1:02.72', '1:02.41'], [5, 'Michael Houlie', 24, 'Tennessee Aquatics-SE', '1:02.69', '1:02.47'], [6, 'Uros Zivanovic', 19, 'Georgia Tech Swimming-GA', '1:03.13', '1:02.48'], [7, 'Apollo Hess', 22, 'Swimming Canada-IT', '1:02.46', '1:02.60'], [9, 'Lucas Young', 17, 'Bolles School Sharks-FL', '1:04.06', '1:03.26'], [10, 'Alexanrdre Landry', 21, 'Sudbury Laurentian Swim Club-IT', '1:03.32', '1:03.27'], [11, 'Jerry Chen', 24, 'Team Pittsburgh Elite Aquatics-AM', '1:03.38', '1:03.61'], [12, 'Louis Joos', 17, 'Bolles School Sharks-FL', '1:04.90', '1:03.94'], [13, 'Jonah Lee', 18, 'Valparaiso Swim Club-IN', '1:03.64', '1:04.28'], [14, 'Braden Meurer', 15, 'Fox Valley Swim Team-IL', '1:04.38', '1:04.55'], [15, 'Charles Wang', 17, 'Palo Alto Stanford Aquatics-PC', '1:04.73', '1:04.76'], [16, 'William Wheeler', 19, 'Unattached-IN', '1:04.51', '1:05.27'], [17, 'Giulian Martin', 18, 'Hurricane Aquatics-FG', '1:05.41', '1:04.20'], [18, 'Angus Macdonald', 19, 'Unattached-IN', '1:05.45', '1:04.47'], [19, 'Cohen Chiam', 18, 'Bolles School Sharks-FL', '1:05.70', '1:04.48'], [20, 'Eldad Zamir', 18, 'Bolles School Sharks-FL', '1:06.95', '1:06.35']]"
7,2025 Pss Westmont Complete Meet Results,Backstroke,Women,50,"[['World', '26.86', '10/20/2023', 'Kaylee McKeown', 'AUS'], ['American', '27.10', '7/26/2023', 'Regan Smith', 'USA'], ['U.S. Open', '27.12', '4/28/2022', 'Katharine Berkoff', 'NC State'], ['World', '26.86', '10/20/2023', 'Kaylee McKeown', 'AUS'], ['American', '27.10', '7/26/2023', 'Regan Smith', 'USA'], ['U.S. Open', '27.12', '4/28/2022', 'Katharine Berkoff', 'NC State']]","[[2, 'Katharine Berkoff', 24, 'Wolfpack Elite-NC', '27.68', '27.63'], [3, 'Ingrid Wilm', 26, 'Swimming Canada-IT', '28.29', '27.67'], [4, 'Regan Smith', 23, 'Longhorn Aquatics-ST', '27.97', '27.68'], [5, 'Rhyan White', 25, 'Wolfpack Elite-NC', '28.01', '27.75'], [6, ""Teagan O'Dell"", 18, 'Unattached Mvn-CA', '28.72', '28.32'], [7, 'Rylee Erisman', 15, 'Laker Swim-FL', '28.75', '28.42'], [8, 'Brynn Lavigueur', 17, 'Sarasota Sharks-FL', '28.91', '28.58'], [9, 'Madison Kryger', 16, 'Swimming Canada-IT', '29.39', '28.95'], [10, 'Sienna Rodgers', 17, 'University of Calgary Swim Clu-IT', '29.32', '29.05'], [11, 'Alexia Sotomayor', 18, ""Saint Andrew's Aquatics-FG"", '30.04', '29.24'], [12, 'Nina Stanisavljevic', 20, 'Georgia Tech Swimming-GA', '28.99', '29.38'], [13, 'Elisabeth Erlendsdottir', 19, 'Georgia Tech Swimming-GA', '29.98', '29.49'], [14, 'Andrea Berrino', 31, 'Argentina-IT', '28.99', '29.50'], [15, 'Justine Murdock', 21, 'Unattached-IL', '29.30', '29.59'], [16, 'Claire Conklin', 17, 'Rise Aquatic Club-IL', '29.99', '30.38'], [17, 'Andrea Sansores De La Fuent', 25, 'Unattached-NT', '30.23', '29.66'], [18, 'Martine Sorel', 19, 'Team Quebec-IT', '30.29', '30.01'], [19, 'Gracyn Aquino', 17, 'Unattached Mvn-CA', '30.26', '30.59'], [20, 'Matea Gigovic', 16, 'Swimming Canada-IT', '30.68', '30.62'], [21, 'Florence Robitaille', 16, 'Team Quebec-IT', '30.81', '30.69'], [22, 'Taylor McCoy', 25, 'Cougar Aquatics-IE', '30.67', '30.72'], [23, 'Ylfa Kristmannsdottir', 16, 'Sunddeild Armanns-IT', '30.73', '30.86'], [24, 'Abigail Heizer', 18, 'Spartan Aquatic Club-GA', '30.59', '31.15'], [25, 'Ariel Wang', 20, 'Washington State University-IE', '1:04.62', '30.95'], [26, 'Erin Griffis', 15, 'Unattached Pasa-PC', '1:06.60', '31.10'], [27, 'Nicole Christensen', 18, 'Unattached Mvn-CA', '1:06.51', '31.36'], [28, 'Ella Detter', 18, 'Unattached Pasa-PC', '1:04.99', '31.48'], [30, 'Evelyn Mulvihill', 17, 'Rise Aquatic Club-IL', '1:07.22', '31.87'], [31, 'Lilia Barber', 15, 'Rise Aquatic Club-IL', '1:14.64', '32.38'], [32, 'Meagan Davis', 19, 'Unattached-GA', '1:10.17', '32.58'], [33, 'Chloe Stinson', 18, 'Unattached Mvn-CA', '1:09.81', '32.87'], [34, 'Vivian Taylor', 15, 'Unattached Mvn-CA', '1:13.76', '34.24'], [35, 'Madi King', 15, 'Lake Forest Swim Club-IL', '1:08.58', '34.25']]"
8,2025 Pss Westmont Complete Meet Results,Backstroke,Men,50,"[['World', '23.55', '7/27/2023', 'Kliment Kolesnikov', 'RUS'], ['American', '23.71', '4/28/2022', 'Hunter Armstong', 'Ohio State'], ['U.S. Open', '23.71', '4/28/2022', 'Hunter Armstrong', 'Ohio State'], ['World', '23.55', '7/27/2023', 'Kliment Kolesnikov', 'RUS'], ['American', '23.71', '4/28/2022', 'Hunter Armstong', 'Ohio State'], ['U.S. Open', '23.71', '4/28/2022', 'Hunter Armstrong', 'Ohio State']]","[[2, 'Michael Andrew', 25, 'Sun Devil Swimming-AZ', '25.55', '25.10'], [3, 'Tommy Janton', 21, 'Unattached-IN', '25.01', '25.25'], [4, 'Jack Dolan', 24, 'Sun Devil Swimming-AZ', '25.51', '25.47'], [5, 'Finn Winkler', 20, 'Fishers Area Swimming Tigers-IN', '26.17', '25.83'], [6, 'Cole Pratt', 22, 'Swimming Canada-IT', '26.33', '25.95'], [7, 'Yurii Kosian', 22, 'Unattached-IN', '25.89', '26.01'], [8, 'Patrick Groters', 26, 'Mission Viejo Nadadores-CA', '26.29', '26.52'], [9, 'Ljubomir Popovic', 20, 'Unattached-IL', '26.78', '26.48'], [10, 'Aidan Levine', 17, 'Tampa Bay Aquatics-FL', '26.56', '26.65'], [11, 'Luke McIntosh', 15, 'Tampa Bay Aquatics-FL', '27.27', '26.98'], [12, 'David Melnychuk', 18, 'Sarasota Sharks-FL', '26.95', '27.02'], [13, 'Matt Pietsch', 20, 'Unattached-WY', '27.71', '27.10'], [14, 'Peyton Bartsch', 20, 'Unattached-ND', '28.12', '27.35'], [15, 'Max Goettsch', 17, 'Fmc Aquatic-IL', '27.93', '27.80'], [16, 'Carter Cox', 17, 'King Aquatic Club-PN', '27.63', '28.05'], [17, 'Jiantong Liu', 20, 'Evolution Racing Club-CA', '28.14', '27.53'], [18, 'Pablo Pareja', 17, 'Fmc Aquatic-IL', '28.21', '27.78'], [19, 'Samuel Metzgar', 17, 'King Aquatic Club-PN', '28.29', '28.33']]"
9,2025 Pss Westmont Complete Meet Results,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:03.84', '8/1/2024', 'Regan Smith', 'USA'], ['U.S. Open', '2:03.87', '6/4/2023', 'Regan Smith', 'Sun Devil'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:03.84', '8/1/2024', 'Regan Smith', 'USA'], ['U.S. Open', '2:03.87', '6/4/2023', 'Regan Smith', 'Sun Devil']]","[[2, 'Regan Smith', 23, 'Longhorn Aquatics-ST', '2:10.56', '2:06.87'], [3, 'Rachel Klinker', 24, 'California Aquatics-PC', '2:12.09', '2:10.73'], [4, 'Kelsey Zhang', 17, 'Unattached Pasa-PC', '2:13.57', '2:11.05'], [5, 'Maya Hetland', 16, 'Palo Alto Stanford Aquatics-PC', '2:15.83', '2:16.29'], [6, 'Ella Detter', 18, 'Unattached Pasa-PC', '2:16.83', '2:17.25'], [7, 'Lindsay Forebaugh', 16, 'Fmc Aquatic-IL', '2:18.75', '2:17.54'], [8, 'Vivien Jackl', 16, 'Hungary-IT', '2:17.58', '2:19.00'], [9, 'Ines Arnall', 16, 'Westchester Aquatic Club-MR', '2:21.29', '2:19.54'], [10, 'Rylee Hutchinson', 16, 'Pleasanton Seahawks-PC', '2:21.53', '2:20.08'], [11, 'Alba Arnall', 16, 'Westchester Aquatic Club-MR', '2:21.57', '2:20.88']]"
10,2025 Pss Westmont Complete Meet Results,Butterfly,Men,200,"[['World', '1:50.34', '6/21/2022', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:50.34', '6/21/2022', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]","[[1, 'Trenton Julian', 26, 'Mission Viejo Nadadores-CA', '1:58.73', '1:56.02'], [2, 'Jack Dahlgren', 25, 'Aquajets Swim Team-MN/UMIZ', '2:00.34', '1:57.35'], [3, 'Patrick Branon', 19, 'Unattached-IN', '1:58.93', '1:59.07'], [4, 'Jon Joentvedt', 21, 'Norway Swim Team-IT', '1:59.97', '2:00.12'], [5, 'Laon Kim', 16, 'University of Calgary Swim Clu-IT', '2:04.62', '2:02.67'], [6, 'Yeziel Morales', 29, 'Mission Viejo Nadadores-CA', '2:02.77', '2:03.10'], [7, 'Tyler Bardak', 18, 'Fox Valley Swim Team-IL', '2:04.36', '2:04.01'], [8, 'Charlie Mayr', 18, 'Unattached-IN', '2:04.83', '2:05.67'], [9, 'Tuja Dreyer', 17, 'University of Calgary Swim Clu-IT', '2:05.70', '2:04.98'], [10, 'Charlie Heisig', 19, 'Unattached-IN', '2:05.13', '2:05.12'], [11, 'Manuel Diaz', 18, 'Mission Viejo Nadadores-CA', '2:05.53', '2:05.23'], [12, 'Zachary Parise', 18, 'Team Quebec-IT', '2:07.89', '2:06.96'], [13, 'Sebastien Voicu', 20, 'Team Quebec-IT', '2:06.75', '2:07.07'], [14, 'Aiden Yeo', 16, 'Pleasanton Seahawks-PC', '2:10.30', '2:08.23'], [15, 'Caleb Carlisle', 19, 'Unattached-WI', '2:08.33', '2:12.82']]"
