event,meet,stroke,gender,distance,records,entries
1,Tyr Pss Richmond Full Meet Results,Freestyle,Women,800,"[['World', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '8:04.79', '8/7/2016', 'Katie Ledecky', 'USA']]","[[8, 'Erin Gemmell', 16, ""Nation's Capital Swim Club"", '8:50.55', '8:54.53'], [9, 'Sophia Knapp', 16, 'Tide Swimming', '8:55.40', '8:59.74'], [10, ""Abby O'Sullivan"", 15, 'Mission Viejo Nadadores', '8:54.85', '9:00.17'], [12, 'Erin Jachym', 17, 'Bluefish Swim Club', '8:55.13', '9:17.85']]"
2,Tyr Pss Richmond Full Meet Results,Freestyle,Men,800,"[['World', '7:32.12', '7/29/2009', 'Lin Zhang', 'CHN'], ['American', '7:43.60', '7/31/2013', 'Michael McBroom', 'USA'], ['U.S. Open', '7:44.57', '7/29/2018', 'Zane Grothe', 'Mission Viejo Na']]","[[3, 'Anders Aistars', 16, 'Mission Viejo Nadadores', '8:23.02', '8:15.74'], [5, 'Peyton Werner', 20, 'FMC Aquatic', '8:23.56', '8:35.61']]"
3,Tyr Pss Richmond Full Meet Results,Freestyle,Women,200,"[['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore']]","[[5, 'Claire Weinstein', 13, 'Westchester Aquatic Club', '2:03.25', '2:01.96'], [6, 'Ashley Twichell', 31, 'TAC Titans', '2:03.75', '2:03.78'], [7, 'Ellie Marquardt', 19, 'Tide Swimming', '2:03.92', '2:04.60'], [8, 'Caroline Pennington', 17, 'TAC Titans', '2:04.77', '2:05.26'], [9, 'Paige Hall', 17, 'Machine Aquatics', '2:05.11', '2:03.57'], [10, 'Bailey Nero', 24, 'North Carolina Aquatic Club', '2:05.81', '2:04.31'], [11, 'Summer Smith', 17, 'Bluefish Swim Club', '2:04.87', '2:04.32'], [12, 'Sophia Knapp', 16, 'Tide Swimming', '2:06.08', '2:04.70'], [13, 'Ellery Ottem', 15, 'Mako Aquatics', '2:06.93', '2:04.88'], [14, 'Miki Dahlke', 22, 'Machine Aquatics', '2:05.82', '2:04.93'], [15, 'Paige McKenna', 17, ""Nation's Capital Swim Club"", '2:06.68', '2:05.67'], [16, 'Maren Conze', 16, ""Nation's Capital Swim Club"", '2:07.37', '2:06.05'], [17, 'Paige McKenna', 17, ""Nation's Capital Swim Club"", '2:03.64', '2:06.68'], [19, 'Maren Conze', 16, ""Nation's Capital Swim Club"", '2:05.31', '2:07.37']]"
4,Tyr Pss Richmond Full Meet Results,Freestyle,Men,200,"[['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]","[[2, 'Billy Swartwout', 18, 'Long Island Aquatic Club', '1:53.65', '1:52.70'], [3, 'Anders Aistars', 16, 'Mission Viejo Nadadores', '1:53.50', '1:52.93'], [4, 'Aayush Deshpande', 19, 'FMC Aquatic', '1:54.15', '1:53.23'], [5, 'Peyton Werner', 20, 'FMC Aquatic', '1:55.88', '1:54.04'], [6, 'Kevin Jackson', 26, 'King Aquatic Club', '1:57.34', '1:56.03'], [7, 'Jack Stelter', 19, 'Woodberry Forest Swimming', '1:55.85', '1:56.34']]"
5,Tyr Pss Richmond Full Meet Results,Breaststroke,Women,100,"[['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]","[[5, 'Grace Rainey', 16, 'SwimMAC Carolina', '1:12.24', '1:11.17'], [6, 'Denise Phelan', 16, 'Team Suffolk', '1:13.72', '1:12.33'], [7, 'Ella Smith', 17, 'Bluefish Swim Club', '1:14.81', '1:14.19'], [8, 'Caroline Kudela', 16, 'Mecklenburg Swim Association', '1:13.97', '1:14.92'], [9, 'Abby Zindler', 18, 'Machine Aquatics', '1:16.47', '1:16.11']]"
6,Tyr Pss Richmond Full Meet Results,Breaststroke,Men,100,"[['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.64', '7/23/2017', 'Kevin Cordes', 'USA'], ['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.64', '7/23/2017', 'Kevin Cordes', 'USA']]","[[1, 'Ethan Browne', 24, 'Unattached', '1:04.39', '1:03.70'], [2, 'Aiken Do', 16, 'The Fish', '1:05.34', '1:03.82'], [3, 'Luke Rodarte', 22, 'Unattached', '1:04.92', '1:03.96'], [4, 'Dylan Rhee', 19, 'Asphalt Green Unified Aquatics', '1:03.98', '1:04.45'], [5, 'Andy Dorsel', 18, 'SwimMAC Carolina', '1:04.45', '1:04.58'], [6, 'Cam Abaqueta', 17, 'SwimMAC Carolina', '1:05.72', '1:05.16'], [7, 'Aidan Duffy', 18, 'NOVA of Virginia Aquatics, Inc', '1:05.94', '1:05.75'], [8, 'Collin McKenzie', 17, 'Unattached FISH', '1:06.11', '1:05.91'], [9, 'Caleb Hicks', 23, 'Team Triumph', '1:06.29', '1:04.88'], [10, 'Tyler Lentine', 17, 'Machine Aquatics', '1:06.16', '1:05.16'], [11, 'Coleman McCreery', 18, 'Unattached MSA', '1:07.54', '1:07.02']]"
7,Tyr Pss Richmond Full Meet Results,Butterfly,Women,100,"[['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE'], ['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE']]","[[4, 'Bailey Nero', 24, 'North Carolina Aquatic Club', '1:01.24', '1:00.82'], [5, 'Nikki Venema', 20, 'Tide Swimming', '1:02.26', '1:00.85'], [6, 'Letitia Sim', 17, 'TNT Swimming', '1:01.69', '1:01.13'], [7, 'Mckenna Stone', 17, 'FMC Aquatic', '1:01.92', '1:01.76'], [8, 'Asia Kozan', 15, 'Mission Viejo Nadadores', '1:02.00', '1:02.86'], [9, 'Josephine Fuller', 17, 'NOVA of Virginia Aquatics, Inc', '1:02.44', '1:01.98'], [10, 'Levenia Sim', 14, 'TNT Swimming', '1:02.34', '1:02.06'], [11, 'Miki Dahlke', 22, 'Machine Aquatics', '1:02.35', '1:02.13'], [12, 'Erin Gemmell', 16, ""Nation's Capital Swim Club"", '1:04.23', '1:03.56'], [13, 'Ellery Ottem', 15, 'Mako Aquatics', '1:04.62', '1:03.57'], [14, 'Issie Abrajan', 16, 'Mission Viejo Nadadores', '1:04.09', '1:04.24']]"
8,Tyr Pss Richmond Full Meet Results,Butterfly,Men,100,"[['World', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['American', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore'], ['World', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['American', '49.50', '7/26/2019', 'Caeleb Dressel', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore']]","[[6, 'Micah Slaton', 23, 'Team Triumph', '54.60', '54.30'], [7, 'Aayush Deshpande', 19, 'FMC Aquatic', '55.18', '55.24'], [8, 'Tommy Bried', 17, 'ACE Aquatic Club', '55.10', '55.27'], [10, 'Holden Smith', 17, 'Race Pace Club - KY', '55.43', '54.26'], [11, 'Scotty Buff', 16, 'Greater Toledo Aquatic Club', '55.73', '56.21'], [12, 'Reid Miller', 17, 'SwimMAC Carolina', '57.44', '56.93'], [13, 'Cam Abaqueta', 17, 'SwimMAC Carolina', '58.68', '59.75']]"
9,Tyr Pss Richmond Full Meet Results,IM,Women,400,"[['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '6/19/2015', 'Katinka Hosszu', 'HUN'], ['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '6/19/2015', 'Katinka Hosszu', 'HUN']]","[[4, 'Grace Sheble', 18, 'NOVA of Virginia Aquatics, Inc', '4:52.89', '4:52.64'], [5, 'Payton Foster', 14, 'Greenwich YWCA Dolphins Swm Tm', '4:59.71', '4:54.69'], [6, 'Kay Sargent', 22, 'Wolfpack Elite', '4:55.34', '4:55.03'], [7, ""Abby O'Sullivan"", 15, 'Mission Viejo Nadadores', '4:56.74', '4:55.67'], [8, 'Aislin Farris', 16, 'Bluefish Swim Club', '4:58.60', '4:56.12'], [9, 'Eleanor Sun', 16, ""Nation's Capital Swim Club"", '4:59.98', '4:53.15'], [10, 'Caroline Sheble', 18, 'NOVA of Virginia Aquatics, Inc', '5:02.62', '4:58.75'], [11, 'Julia Stafford', 16, 'Mission Viejo Nadadores', '5:03.28', '4:59.16'], [12, 'Meghan Lynch', 17, 'Greenwich YWCA Dolphins Swm Tm', '5:00.10', '5:01.08'], [13, 'Ella Smith', 17, 'Bluefish Swim Club', '5:05.54', '5:09.54'], [14, 'Grace Rainey', 16, 'SwimMAC Carolina', '5:05.35', '5:09.62']]"
10,Tyr Pss Richmond Full Meet Results,IM,Men,400,"[['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine']]","[[2, 'Baylor Nelson', 17, 'SwimMAC Carolina', '4:32.06', '4:28.17'], [3, 'Tommy Bried', 17, 'ACE Aquatic Club', '4:30.32', '4:28.29'], [4, 'Peyton Werner', 20, 'FMC Aquatic', '4:39.05', '4:33.68'], [5, 'Andy Dorsel', 18, 'SwimMAC Carolina', '4:34.54', '4:34.32'], [6, 'Caleb Maldari', 15, 'Bluefish Swim Club', '4:40.33', '4:36.94'], [7, 'Chris Balbo', 22, 'Machine Aquatics', '4:41.33', '4:37.79'], [8, 'Aidan Duffy', 18, 'NOVA of Virginia Aquatics, Inc', '4:39.40', '4:45.67']]"
11,Tyr Pss Richmond Full Meet Results,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '7/25/2018', 'Hali Flickinger', 'Athens Bulldog-G'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.87', '7/25/2018', 'Hali Flickinger', 'Athens Bulldog-G']]","[[4, 'Zoe Dixon', 16, 'NOVA of Virginia Aquatics, Inc', '2:17.95', '2:15.15'], [5, 'Summer Smith', 17, 'Bluefish Swim Club', '2:16.87', '2:15.60'], [6, 'Eleanor Sun', 16, ""Nation's Capital Swim Club"", '2:20.93', '2:16.66'], [7, 'Bailey Nero', 24, 'North Carolina Aquatic Club', '2:18.77', '2:17.63'], [8, 'Aislin Farris', 16, 'Bluefish Swim Club', '2:19.53', '2:19.46'], [9, 'Issie Abrajan', 16, 'Mission Viejo Nadadores', '2:22.71', '2:18.72'], [10, 'Asia Kozan', 15, 'Mission Viejo Nadadores', '2:25.17', '2:19.28']]"
12,Tyr Pss Richmond Full Meet Results,Butterfly,Men,200,"[['World', '1:50.73', '7/24/2019', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:50.73', '7/24/2019', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]","[[4, 'Jack Saunderson', 23, 'Wolfpack Elite', '2:03.52', '2:01.51'], [5, 'Micah Slaton', 23, 'Team Triumph', '2:04.85', '2:02.55'], [6, 'Aayush Deshpande', 19, 'FMC Aquatic', '2:06.71', '2:04.03'], [7, 'Dylan Porges', 20, 'TAC Titans', '2:01.93', '2:04.06'], [8, 'Andy Dorsel', 18, 'SwimMAC Carolina', '2:06.26', '2:05.16'], [9, 'Chris Balbo', 22, 'Machine Aquatics', '2:09.51', '2:08.50']]"
13,Tyr Pss Richmond Full Meet Results,Freestyle,Women,50,"[['World', '23.67', '7/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '7/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.08', '6/1/2019', 'Pernille Blume', 'DEN'], ['World', '23.67', '7/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '7/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.08', '6/1/2019', 'Pernille Blume', 'DEN'], ['World', '23.67', '7/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '7/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.08', '6/1/2019', 'Pernille Blume', 'DEN']]","[[5, 'Alexandra Dicks', 17, ""Nation's Capital Swim Club"", '26.00', '26.01'], [6, 'Katrina Konopka-Reid', 23, 'Wolfpack Elite', '26.14', '26.12'], [7, 'Aly Tetzloff', 23, 'Wolfpack Elite', '26.14', '26.14'], [8, 'Mckenna Stone', 17, 'FMC Aquatic', '26.11', '26.17'], [12, 'Paige Hall', 17, 'Machine Aquatics', '26.56', '26.15'], [13, 'Nikki Venema', 20, 'Tide Swimming', '26.63', '26.31'], [14, 'Ellery Ottem', 15, 'Mako Aquatics', '26.56', '26.48'], [15, 'Miki Dahlke', 22, 'Machine Aquatics', '27.17', '26.61'], [16, 'Macky Hodges', 16, 'Mission Viejo Nadadores', '26.84', '26.64'], [17, 'Meghan Lynch', 17, 'Greenwich YWCA Dolphins Swm Tm', '26.86', '27.23'], [1, 'Erin Gemmell', 16, ""Nation's Capital Swim Club"", '26.16', '26.11'], [2, 'Madeline Banic', 23, 'Tennessee Aquatics', '26.16', '26.12']]"
14,Tyr Pss Richmond Full Meet Results,Freestyle,Men,50,"[['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.04', '7/27/2019', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.04', '7/27/2019', 'Caeleb Dressel', 'USA']]","[[4, 'Diggory Dillingham', 15, 'Unattached MAC', '23.54', '23.45'], [5, 'Caleb Hicks', 23, 'Team Triumph', '23.75', '23.60'], [6, 'Reid Miller', 17, 'SwimMAC Carolina', '23.92', '23.85'], [7, 'Aayush Deshpande', 19, 'FMC Aquatic', '23.99', '24.03'], [9, 'Scotty Buff', 16, 'Greater Toledo Aquatic Club', '24.20', '23.86'], [10, 'Brett Feyerick', 17, ""Nation's Capital Swim Club"", '24.27', '24.00'], [11, 'Cam Abaqueta', 17, 'SwimMAC Carolina', '24.44', '24.21'], [12, 'Jack Doherty', 22, 'Tribe Aquatics', '24.28', '24.50']]"
